,max of price,min of price,max of reviews,min of reviews,avg of reviews,avg of price,avg of satisfaction
Allston,550.0,20.0,118,0,15.25,100.01932367149759,4.670454545454546
Back Bay,1372.0,41.0,283,0,14.800925925925926,237.51590106007066,4.649390243902439
Bay Village,1200.0,81.0,47,0,16.0,254.1578947368421,4.5
Beacon Hill,849.0,42.0,214,0,22.115151515151513,215.90731707317073,4.615942028985507
Brighton,999.0,10.0,152,0,19.710743801652892,113.95555555555555,4.681318681318682
Charlestown,1000.0,55.0,198,0,33.083333333333336,228.53846153846155,4.813953488372093
Chinatown,600.0,92.0,172,0,17.236842105263158,254.92727272727274,4.678571428571429
Dorchester,395.0,30.0,262,0,30.0,91.575,4.537267080745342
Downtown,1000.0,38.0,188,0,21.238095238095237,241.18421052631578,4.666666666666667
East Boston,300.0,35.0,281,0,31.535087719298247,115.48412698412699,4.568421052631579
Fenway,4000.0,25.0,223,0,12.95135135135135,218.77027027027026,4.59349593495935
Hyde Park,250.0,40.0,53,0,13.157894736842104,92.57692307692308,4.714285714285714
Jamaica Plain,675.0,24.0,244,0,27.25096525096525,140.41587301587302,4.766666666666667
Leather District,571.0,159.0,27,0,18.25,342.75,5.0
Longwood Medical Area,149.0,60.0,115,0,78.5,99.33333333333333,4.625
Mattapan,169.0,44.0,69,0,22.153846153846153,78.65,4.5
Mission Hill,872.0,27.0,385,0,19.423728813559322,132.16831683168317,4.523809523809524
North End,600.0,35.0,249,0,30.761467889908257,183.13636363636363,4.6722222222222225
Roslindale,250.0,40.0,147,0,30.510204081632654,94.60714285714286,4.855555555555555
Roxbury,1400.0,28.0,154,0,26.816,148.3673469387755,4.595
South Boston,1000.0,47.0,192,0,24.666666666666668,189.55555555555554,4.729591836734694
South Boston Waterfront,3000.0,95.0,85,0,10.209302325581396,337.463768115942,4.739130434782608
South End,1193.0,19.0,203,0,18.576923076923077,195.10670731707316,4.6838235294117645
West End,583.0,60.0,81,0,12.891891891891891,227.25862068965517,4.673076923076923
West Roxbury,375.0,45.0,155,0,15.727272727272727,109.76666666666667,4.769230769230769
